sample_id,source,target,bleu
0,english,tamil,0.25958881415412566
1,english,tamil,0.13897678851036582
2,english,tamil,0.1950769217707457
3,english,tamil,0.36899719428498035
4,english,tamil,0.321221877598817
5,english,tamil,0.34255733011812906
6,english,tamil,0.2827126013813266
7,english,tamil,0.17288913613013332
8,english,tamil,0.182897548725212
9,english,tamil,0.2923931012930031
10,english,tamil,0.1903413428881568
11,english,tamil,0.36649693195982835
12,english,tamil,0.11812287717897038
13,english,tamil,0.1632424372394006
14,english,tamil,0.2158100895059526
15,english,tamil,0.13552739007859332
16,english,tamil,0.30989948992882993
17,english,tamil,0.32019641189761133
18,english,tamil,0.34045350102759897
19,english,tamil,0.18177572109488413
20,english,tamil,0.2100973394086682
21,english,tamil,0.24726894153179416
22,english,tamil,0.19705203087473872
23,english,tamil,0.2676087715808345
24,english,tamil,0.16379963459131594
25,english,tamil,0.0
26,english,tamil,0.11636915725662876
27,english,tamil,0.34740393128447783
28,english,tamil,0.04730358581104692
29,english,tamil,0.35170375943946297
30,english,tamil,0.2651021499299004
31,english,tamil,0.011226870807922062
32,english,tamil,0.15795126707618853
33,english,tamil,2.664824757969544e-232
34,english,tamil,1.9437280781726057e-157
35,english,tamil,0.12210112533707075
36,english,tamil,0.13920624522101913
37,english,tamil,0.17716815328107705
38,english,tamil,0.2823511279024027
39,english,tamil,0.2829439606976903
40,english,tamil,0.25828916924048523
41,english,tamil,0.2170923636068175
42,english,tamil,0.24388917112135344
43,english,tamil,1.0898348520860973e-80
44,english,tamil,0.2783555523348332
45,english,tamil,0.2750271838196897
46,english,tamil,0.18218137125598477
47,english,tamil,0.36286200436629246
48,english,tamil,0.29445838944309183
49,english,tamil,0.2553043704624072
50,english,tamil,0.20567762722663882
51,english,tamil,0.21059087867476367
52,english,tamil,0.3001907838949909
53,english,tamil,0.10470186158080193
54,english,tamil,0.1737265055435588
55,english,tamil,0.12797809307456792
56,english,tamil,0.19616684108284693
57,english,tamil,0.19382721325341834
58,english,tamil,0.1989888494203328
59,english,tamil,0.20659743949490425
60,english,tamil,0.2714788154014586
61,english,tamil,0.23443235064621887
62,english,tamil,0.15429503015251086
63,english,tamil,0.13841119059505086
64,english,tamil,0.25384050908674144
65,english,tamil,0.3864754692684313
66,english,tamil,0.2790829915508781
67,english,tamil,0.2709455886626559
68,english,tamil,0.23955526654233508
69,english,tamil,0.19490431415969292
70,english,tamil,0.17953851581872662
71,english,tamil,0.21125777760323933
72,english,tamil,0.20392702935788512
73,english,tamil,0.41290465778355967
74,english,tamil,0.3658375879465207
75,english,tamil,0.3849135350176378
76,english,tamil,0.4017228669906699
77,english,tamil,0.247303174554487
78,english,tamil,0.3078415852518247
79,english,tamil,0.2845489096590297
80,english,tamil,0.19216581596227456
81,english,tamil,0.18168063575971527
82,english,tamil,0.2256986962246183
83,english,tamil,0.2747724763116724
84,english,tamil,0.12213908813840935
85,english,tamil,0.21277363583773506
86,english,tamil,0.14509776372543065
87,english,tamil,0.27161954129683963
88,english,tamil,0.2815033855480688
89,english,tamil,0.1513054432193235
90,english,tamil,0.0
91,english,tamil,0.24436659748992248
92,english,tamil,0.27049773367463315
93,english,tamil,0.25602993252091866
94,english,tamil,0.22883700988239677
95,english,tamil,0.25397910910613714
96,english,tamil,0.12256062800069097
97,english,tamil,0.29092446589079024
98,english,tamil,0.2574430852526291
99,english,tamil,0.14326078777531104
